"uf";"regiao";"ano";"imposto_sobre_importacao";"imposto_sobre_exportacao";"ipi_total";"imposto_sobre_a_renda_total";"irpf";"irpj";"imposto_s_renda_retido_na_fonte";"imposto_s_operacoes_financeiras";"imposto_territorial_rural";"cofins";"contribuicao_para_o_pis_pasep";"csll";"cide_combustiveis";"cpsss_contrib_p_o_plano_de_segurid_social_serv_publico";"outras_receitas_administradas"
"AC";"Norte";2020;985174,77;36,13;4240199,15;300199853,59;62072028,88;113486699,53;124641125,18;1897985,08;1487344,08;144057300,57;76934968,18;68168473,35;0;104836396,45;14062545,18
"AL";"Nordeste";2020;16616714,74;19893,75;72250365,28;1033019967,29;247567845,14;340709902,24;444742219,91;3702912,85;4421759,01;729105725,54;249770494,48;229004663,27;132127,2;338365145,08;48113882,82
"AM";"Norte";2020;762232235,91;-0,470000000000002;169272676,24;4468506183,61;257090145,96;2695103942,73;1516312094,92;44421129,59;2348075,49;4269533703,39;1149824781,99;1983534312,19;14978664,1;341440307,24;272633042,17
"AP";"Norte";2020;309705,72;12,13;2684901,14;236338731,37;52232105,57;112525771,56;71580854,24;2864198,87;797787,75;106365959,63;62458965,04;56187326,93;0;309464338,76;4004358,08
"BA";"Nordeste";2020;1030620380,98;30131,08;1583343870,65;5997973282,7;982824367,8;2670174389,56;2344974525,34;25438592,62;55878608,8;5555103826,17;1686822120,06;1767716643,83;2022454,51;917452592,46;9234434,79
"CE";"Nordeste";2020;712512834,54;2225,73;652218015,22;5315214147,03;601900486,16;2444764790,35;2268548870,52;18347619,28;3743560,25;3855584306,24;1108484440,14;1586572162,78;40927710,14;700664874,87;87941017,52
"DF";"Centro-Oeste";2020;38676559,11;2898,39;81049965,17;56077120890,97;1035328309,44;7073534944,19;47968257637,34;2706081789,12;2674418,58;8459868980,28;5217740369,54;3574488387,95;4779,6;18682026689;6724953354,73
"ES";"Sudeste";2020;1903559527,65;29138,38;2760357766,98;4405048796,3;532877760,4;2388039971,85;1484131064,05;69631222,96;9201413,05;4357367700,69;1238402181,87;1236501444,16;4969057,37;423898629,98;25602174,44
"GO";"Centro-Oeste";2020;385559156,68;36012,74;424591468,17;5342509382,11;1095425137,87;2538282615,96;1708801628,28;50697839,86;203141980,89;3158060035,52;1171321965,71;1298410494,9;58191,55;602951176,5;162638156,15
"MA";"Nordeste";2020;51723529,27;-65446,29;59786823,14;1737367153,68;515033922,64;647479963,47;574853267,57;2523741,03;12589302,25;2335129747,52;712180155,03;389379529,55;90598250,59;389881993,92;34193386,91
"MG";"Sudeste";2020;1560969146,37;17186,05;7450712670,68;24596928656,02;3606118114,78;13115582723,6;7875227817,64;564815589,35;183172444,97;11925227612,16;3878472117,53;6337326709,79;7359,21;2369216972,77;57418517,38
"MS";"Centro-Oeste";2020;1731995,1;12705,32;86269901,57;2340505130,09;566646793,97;1031285097,22;742573238,9;31569632,31;297484227,44;1226575545,39;488601312,05;527512179,78;458401,31;331842783,42;25128935,11
"MT";"Centro-Oeste";2020;43440232,07;9563,46;124278133,21;3406941803,98;656757408,43;1666450758,32;1083733637,23;87145045,51;260716716,88;1822661624,44;697187912,34;993536919,54;2340329,87;351822234,29;52954971,81
"PA";"Norte";2020;98912193,42;24666,11;177838811,43;2917164475,88;407483520,99;1364974772,35;1144706182,54;110031378,18;30840910,54;1907101405,68;712679134,57;814984015,39;28903601,29;630461056,25;23479657,12
"PB";"Nordeste";2020;75455623,5;-10532,26;94180485,04;1678428897,46;355210341,23;550589116,38;772629439,85;8179192,34;4485567,73;876737394,87;320732511,48;377234716,55;17,08;721192971,4;18996900,12
"PE";"Nordeste";2020;1149002785,85;71410,72;1405505008,1;5042629144,11;809444049,26;2128202623,49;2104982471,36;31874905,31;7582875,08;5526242288,74;1576655430,66;1426586017,85;64100903,48;1085021182,79;206953243,51
"PI";"Nordeste";2020;328172,13;1558,31;33654426,64;1062146506,88;235233389,02;451289960,09;375623157,77;2862676,33;19632280,83;511120361,46;210171838,23;278500292,1;0;315936497,84;16195984,82
"PR";"Sul";2020;3964526727,39;54601,49;4243592969,64;17606943216,98;3070982622,46;8636121208,99;5899839385,53;418626409,71;190291734,39;13800656694,15;3714652395,95;4265783037,66;90634199,62;1061530802,22;422263624,47
"RJ";"Sudeste";2020;2772035812,15;5102,54;2988947657,17;71462739179,1;5396899630,21;33023309844,26;33042529704,63;1241887034,59;13650520,13;31775281577,45;9212986524,4;16896065806,46;1048318687,99;3773448013,47;6169915876,1
